"Region","ZIP_Code","City","County","lat","lon","X2019_estimate"
"southeast",57344,"harrison","douglas",43.43,-98.53,NA
"southeast",57032,"harrisburg","lincoln",43.43,-96.7,6710
"central",57534,"hamill","tripp",43.59,-99.69,NA
"northeast",57445,"groton","brown",45.45,-98.1,1475
"northeast",57239,"grenville","day",45.47,-97.39,51
"central",57533,"gregory","gregory",43.23,-99.42,1242
"northeast",57238,"goodwin","deuel",44.88,-96.85,148
"central",57631,"glenham","walworth",45.53,-100.27,105
"central",57630,"glencross","dewey",45.4482917050667,-100.921469299085,NA
"central",57442,"gettysburg","potter",45.01,-99.95,1081
"central",57342,"geddes","charles mix",43.25,-98.7,207
"southeast",57031,"gayville","yankton",42.89,-97.17,396
"northeast",57237,"gary","deuel",44.79,-96.46,229
"southeast",57030,"garretson","minnehaha",43.71,-96.5,1147
"northeast",57236,"garden city","clark",44.9595438369227,-97.5803989889817,58
"central",57341,"gann valley","buffalo",44.03,-98.99,NA
"southeast",57340,"fulton","hanson",43.73,-97.82,96
"southeast",57029,"freeman","hutchinson",43.35,-97.43,1275
"northeast",57441,"frederick","brown",45.83,-98.51,196
"northeast",57440,"frankfort","spink",44.88,-98.31,151
"central",57339,"fort thompson","buffalo",44.05,-99.41,NA
"central",57532,"fort pierre","stanley",44.37,-100.38,2217
"west",57741,"fort meade","meade",44.4096217284008,-103.47131747301,NA
"northeast",57235,"florence","codington",45.05,-97.33,360
"northeast",57028,"flandreau","moody",44.05,-96.6,2316
"northeast",57439,"ferney","brown",45.33,-98.09,NA
"southeast",57337,"fedora","miner",44.01,-97.79,NA
"northeast",57438,"faulkton","faulk",45.03,-99.13,709
"west",57626,"faith","meade",45.03,-102.04,411
"southeast",57027,"fairview","lincoln",43.22,-96.49,74
"central",57335,"fairfax","gregory",43.03,-98.89,115
"west",57738,"fairburn","custer",43.69,-103.21,98
"northeast",57437,"eureka","mcpherson",45.77,-99.62,826
"southeast",57334,"ethan","davison",43.55,-97.98,322
"northeast",57234,"estelline","hamlin",44.58,-96.9,746
"northeast",57233,"erwin","kingsbury",44.49,-97.44,44
"west",57737,"enning","meade",44.5753490395878,-102.563021439186,NA
"southeast",57332,"emery","hanson",43.6,-97.62,451
"west",57706,"ellsworth afb","meade",44.1538298952842,-103.09018705767,NA
"northeast",57026,"elkton","brookings",44.24,-96.48,726
"southeast",57025,"elk point","union",42.68,-96.68,1871
"northeast",57024,"egan","moody",44,-96.65,273
"west",57735,"edgemont","fall river",43.3,-103.83,719
"northeast",57232,"eden","marshall",45.62,-97.42,100
"central",57625,"eagle butte","dewey",44.99,-101.23,1346
"central",57623,"dupree","ziebach",45.05,-101.6,518
"west",57531,"draper","jones",43.93,-100.54,67
"northeast",57436,"doland","spink",44.89,-98.1,181
"southeast",57331,"dimock","hutchinson",43.48,-97.99,130
"southeast",57330,"delmont","douglas",43.27,-98.16,217
"southeast",57022,"dell rapids","minnehaha",43.83,-96.72,3628
"west",57732,"deadwood","lawrence",44.38,-103.72,1293
"northeast",57231,"de smet","kingsbury",44.39,-97.55,1052
"southeast",57021,"davis","turner",43.26,-96.99,88
"central",57329,"dante","charles mix",43.04,-98.19,86
"central",57529,"dallas","gregory",43.24,-99.52,122
"west",57730,"custer","custer",43.77,-103.6,1969
"southeast",57020,"crooks","minnehaha",43.66,-96.81,1327
"northeast",57435,"cresbard","faulk",45.17,-98.95,99
"southeast",57328,"corsica","douglas",43.42,-98.41,575
"northeast",57227,"corona","roberts",45.34,-96.76,106
"northeast",57434,"conde","spink",45.16,-98.1,142
"northeast",57433,"columbia","brown",45.61,-98.31,138
"southeast",57018,"colton","minnehaha",43.79,-96.93,669
"central",57528,"colome","tripp",43.26,-99.72,280
