"Region","ZIP_Code","City","County","lat","lon"
"southeast",57057,"rutland","lake",44.0895508930907,-96.9670791645685
"central",57571,"saint charles","gregory",43.09,-99.09
"west",57572,"saint francis","todd",43.14,-100.9
"northeast",57373,"saint lawrence","hand",44.52,-98.94
"west",57779,"saint onge","lawrence",44.55,-103.72
"southeast",57058,"salem","mccook",43.72,-97.39
"west",57780,"scenic","pennington",43.7796797321183,-102.554879904907
"southeast",57059,"scotland","bon homme",43.15,-97.72
"central",57472,"selby","walworth",45.51,-100.03
"northeast",57473,"seneca","faulk",45.06,-99.51
"northeast",57061,"sinai","brookings",44.24,-97.04
"southeast",57108,"sioux falls","lincoln",43.54,-96.73
"southeast",57101,"sioux falls","minnehaha",43.54,-96.73
"southeast",57103,"sioux falls","minnehaha",43.54,-96.73
"southeast",57104,"sioux falls","minnehaha",43.54,-96.73
"southeast",57105,"sioux falls","minnehaha",43.54,-96.73
"southeast",57106,"sioux falls","minnehaha",43.54,-96.73
"southeast",57107,"sioux falls","minnehaha",43.54,-96.73
"southeast",57109,"sioux falls","minnehaha",43.54,-96.73
"southeast",57110,"sioux falls","minnehaha",43.54,-96.73
"southeast",57117,"sioux falls","minnehaha",43.54,-96.73
"southeast",57118,"sioux falls","minnehaha",43.54,-96.73
"southeast",57186,"sioux falls","minnehaha",43.54,-96.73
"southeast",57193,"sioux falls","minnehaha",43.54,-96.73
"southeast",57197,"sioux falls","minnehaha",43.54,-96.73
"southeast",57198,"sioux falls","minnehaha",43.54,-96.73
"northeast",57262,"sisseton","roberts",45.66,-97.05
"west",57782,"smithwick","fall river",43.301584487639,-103.218468503627
"northeast",57263,"south shore","codington",45.1,-96.93
"west",57783,"spearfish","lawrence",44.49,-103.82
"west",57799,"spearfish","lawrence",44.49,-103.82
"southeast",57374,"spencer","mccook",43.73,-97.59
"southeast",57062,"springfield","bon homme",42.86,-97.9
"central",57346,"stephan","hyde",44.2483171843904,-99.4531221096057
"central",57375,"stickney","aurora",43.59,-98.44
"northeast",57264,"stockholm","grant",45.1,-96.8
"northeast",57265,"strandburg","grant",45.04,-96.76
"northeast",57474,"stratford","brown",45.32,-98.3
"west",57785,"sturgis","meade",44.41,-103.52
"northeast",57266,"summit","roberts",45.31,-97.04
"southeast",57063,"tabor","bon homme",42.95,-97.66
"southeast",57064,"tea","lincoln",43.45,-96.83
"central",57656,"timber lake","dewey",45.43,-101.07
"central",57475,"tolstoy","potter",45.21,-99.61
"northeast",57268,"toronto","deuel",44.57,-96.64
"central",57657,"trail city","corson",45.4735608871222,-100.724225442603
"northeast",57065,"trent","moody",43.91,-96.66
"southeast",57376,"tripp","hutchinson",43.23,-97.97
"northeast",57476,"tulare","spink",44.74,-98.51
"northeast",57477,"turton","spink",45.05,-98.1
"west",57574,"tuthill","bennett",43.1557372952368,-101.493889273249
"northeast",57269,"twin brooks","grant",45.21,-96.79
"southeast",57066,"tyndall","bon homme",42.99,-97.86
"west",57787,"union center","meade",44.5607887349764,-102.669465470303
"southeast",57067,"utica","yankton",42.98,-97.5
"west",57788,"vale","butte",44.62,-103.4
"southeast",57068,"valley springs","minnehaha",43.58,-96.47
"northeast",57270,"veblen","marshall",45.86,-97.29
"southeast",57069,"vermillion","clay",42.78,-96.92
"southeast",57070,"viborg","turner",43.17,-97.08
"northeast",57271,"vienna","clark",44.7,-97.5
"northeast",57379,"virgil","beadle",44.29,-98.43
"central",57576,"vivian","lyman",43.93,-100.3
"northeast",57071,"volga","brookings",44.32,-96.92
"southeast",57072,"volin","yankton",42.96,-97.18
"central",57380,"wagner","charles mix",43.08,-98.29
"southeast",57073,"wakonda","clay",43.01,-97.11
"central",57658,"wakpala","corson",45.6558936167815,-100.536151741766
"central",57659,"walker","corson",45.9103060727448,-101.090453136725
"west",57790,"wall","pennington",43.99,-102.24
"northeast",57272,"wallace","codington",45.08,-97.48
"west",57577,"wanblee","jackson",43.57,-101.66
"northeast",57479,"warner","brown",45.33,-98.5
"west",57791,"wasta","pennington",44.07,-102.45
"central",57660,"watauga","corson",45.9227479098723,-101.542953636698
