"Region","ZIP_Code","City","County","lat","lon"
"southeast",57040,"lesterville","yankton",43.04,-97.59
"southeast",57046,"mission hill","yankton",42.92,-97.28
"southeast",57067,"utica","yankton",42.98,-97.5
"southeast",57072,"volin","yankton",42.96,-97.18
"southeast",57078,"yankton","yankton",42.89,-97.39
"west",57551,"martin","bennett",43.18,-101.73
"west",57574,"tuthill","bennett",NA,NA
"west",57714,"allen","bennett",43.28,-101.93
"west",57717,"belle fourche","butte",44.66,-103.86
"west",57760,"newell","butte",44.72,-103.42
"west",57762,"nisland","butte",44.67,-103.55
"west",57788,"vale","butte",44.62,-103.4
"west",57722,"buffalo gap","custer",43.49,-103.32
"west",57730,"custer","custer",43.77,-103.6
"west",57738,"fairburn","custer",43.69,-103.21
"west",57744,"hermosa","custer",43.84,-103.19
"west",57773,"pringle","custer",43.61,-103.59
"west",57735,"edgemont","fall river",43.3,-103.83
"west",57747,"hot springs","fall river",43.43,-103.48
"west",57763,"oelrichs","fall river",43.18,-103.23
"west",57766,"oral","fall river",NA,NA
"west",57782,"smithwick","fall river",NA,NA
"west",57552,"midland","haakon",44.07,-101.16
"west",57553,"milesville","haakon",NA,NA
"west",57567,"philip","haakon",44.04,-101.66
"west",57650,"ralph","harding",NA,NA
"west",57651,"reva","harding",NA,NA
"west",57720,"buffalo","harding",45.59,-103.54
"west",57724,"camp crook","harding",45.55,-103.97
"west",57755,"ludlow","harding",NA,NA
"west",57776,"redig","harding",NA,NA
"west",57521,"belvidere","jackson",43.83,-101.27
"west",57543,"kadoka","jackson",43.83,-101.51
"west",57547,"long valley","jackson",NA,NA
"west",57577,"wanblee","jackson",43.57,-101.66
"west",57750,"interior","jackson",43.73,-101.98
"west",57531,"draper","jones",43.93,-100.54
"west",57559,"murdo","jones",43.89,-100.71
"west",57562,"okaton","jones",43.86,-100.9
"west",57732,"deadwood","lawrence",44.38,-103.72
"west",57754,"lead","lawrence",44.35,-103.77
"west",57759,"nemo","lawrence",NA,NA
"west",57779,"saint onge","lawrence",NA,NA
"west",57783,"spearfish","lawrence",44.49,-103.82
"west",57793,"whitewood","lawrence",44.46,-103.64
"west",57799,"spearfish","lawrence",44.49,-103.82
"west",57626,"faith","meade",45.03,-102.04
"west",57706,"ellsworth afb","meade",NA,NA
"west",57718,"black hawk","meade",NA,NA
"west",57737,"enning","meade",NA,NA
"west",57741,"fort meade","meade",NA,NA
"west",57748,"howes","meade",NA,NA
"west",57758,"mud butte","meade",NA,NA
"west",57769,"piedmont","meade",44.22,-103.38
